Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
11265,808,3032,3,10476,23161,8697,1614
951,811,2549,11,2136,23162,9437,677
1,2,9094,8,10312,23163,7732,9223
1186,1,4333,5,773,23164,5828,3660
18500,807,5633,9,5324,23165,10408,10076
867,808,435,286,9096,32,112,1217
1,812,999,3,789,51,3714,1611
5665,8003,112,2,788,96,6904,372
11007,3,3422,113,413,134,3390,3668
59,2,7525,297,227,150,992,991
5174,1,7527,1,228,195,10176,1473
12677,806,1603,1045,301,198,17960,1474
19610,811,6682,305,26,199,6361,4169
58,3898,7531,213,328,202,2722,556
6937,3899,3432,17,2892,221,3086,1925
11006,3900,6687,273,36,281,7104,4562
8153,3901,7538,19,153,329,15785,2362
5134,3902,5350,696,10963,464,12928,1237
19609,3903,6228,17,55,530,10075,1492
1,3904,3822,1,216,548,3714,1335
1499,20726,2334,256,94,575,1895,4060
5664,4,6695,23,448,595,10618,5424
16473,2,6699,121,516,658,15217,2109
8802,808,7714,576,11225,714,13590,5321
821,3915,2902,52,147,733,8402,4922
1946,6315,673,5,181,869,493,1595
6655,8029,3908,1346,203,1017,12086,3766
11096,3,4627,1381,224,1068,7262,268
12676,1,7544,2265,99,1114,21674,1500
5173,10,7549,3,271,1172,13890,555
9483,6,7554,12,273,1258,9271,2757
1,5,7558,2244,1595,1259,221,554
7020,4,7562,5,1,1261,5752,7406
264,804,5353,2829,155,1316,11217,7432
3935,806,5392,5096,130,1331,6410,5692
3128,811,4392,1,112,1446,13304,7347
709,3890,4932,1,3124,1465,16207,2121
13921,3893,475,264,123,1475,2070,2574
3983,3894,7797,517,228,1489,2574,5364
1243,3895,857,181,5,1530,386,456
3129,3896,1655,515,978,1576,99,5543
7655,3897,31,148,960,1592,1223,1321
3234,3898,1690,2,68,1683,14321,1326
520,6137,1680,651,86,1734,5154,656
3658,6311,35,610,1298,1736,6085,2537
791,7999,2111,8,52,1761,13696,1277
7268,7,986,1,458,1841,16246,1739
263,6,1669,680,462,2110,11438,1201
708,5,1441,517,714,2122,16428,3238
1,3,1944,516,3698,2128,9786,1100
1088,2,1275,9,239,2248,631,3535
1087,2,189,13,861,2323,9159,568
1391,3,510,146,629,2354,10036,113
2493,3902,1760,262,305,2390,14033,285
1866,3904,1826,3,760,2407,14651,1210
10658,3912,77,1,603,2418,1276,164
1390,10517,892,406,834,2431,250,1129
1,2,1093,295,559,2435,9761,193
7240,4,2438,116,1339,2472,576,4381
9189,6721,4422,352,961,2479,4958,1933
1737,8,888,347,955,2569,1342,1777
924,5,848,83,981,2662,10426,1007
1679,4,833,2,1119,2707,14856,1782
12878,3,844,5,1145,2748,2066,28
779,2,1116,387,993,2753,12421,2888
3043,1,748,2,1181,2782,12878,192
17748,1,799,134,1024,2880,14992,3018
1248,3,1110,1,1225,2922,3524,3003
1249,808,854,2,1244,2927,1703,2533
8601,810,1137,164,326,2935,11143,1114
4620,1181,2739,515,6,2995,11919,238
4677,3902,664,6747,1372,3036,320,1288
18335,3910,2984,153,404,3058,2136,1206
1747,4713,944,17,372,3124,170,1670
12654,10515,637,1197,57,3148,12412,2005
2934,10517,8,50,235,3217,3766,2848
2273,10529,608,2,78,3441,53,2667
632,18768,1402,166,1165,3475,8194,616
1,18769,23,3,453,3497,6796,869
6022,2,865,523,455,3513,13779,344
9591,1,3985,513,345,3521,11188,3059
1379,1,522,136,3703,3526,5518,1005
9335,1225,341,109,537,3575,2266,1863
3728,15978,1090,116,507,3779,6710,607
1,4,6583,149,310,3944,95,2839
13536,1,1213,160,1306,3980,4512,1583
19093,5,1188,369,937,4004,839,468
7322,4,488,449,368,4075,588,2858
3867,3,1872,10,512,4321,12575,758
1243,1,3896,14,100,4370,3929,3402
3866,1,1085,478,255,4420,12670,1024
20176,6,347,672,854,4461,1078,789
7321,5,941,515,309,4482,683,219
1242,4,1582,679,246,4493,4024,710
1,3,385,516,900,4530,15869,708
14269,2,354,126,901,4619,1198,171
5567,1,969,1,429,4620,885,1132
18927,6715,320,85,774,4746,20213,932
1,7,3461,191,963,4774,4079,1666
2566,5,456,159,755,4811,10534,3221
7202,4,934,214,405,4815,16637,568
8365,1,35,2,426,4872,17656,1003
2756,8,940,246,598,4886,4475,81
251,5,1322,4,1223,4910,667,2484
81,4,850,5,554,4913,15972,1585
1,9,7448,35,1,4916,1302,5755
2275,7,4086,1,451,4978,20308,5619
2749,4,4663,8,213,5079,12323,1613
2274,3,2447,127,748,5266,19006,5694
1,1,2580,33,385,5268,4950,1571
1632,1385,4671,100,1139,5274,10248,1104
6363,14714,4677,211,773,5604,3831,772
467,81,446,120,18068,5609,437,5582
3664,1382,114,84,2744,5646,1283,5694
1017,2774,643,1,1759,5795,8574,7342
7747,1,445,19,1431,5858,8915,5660
5675,1,7453,3,776,6016,3314,8128
466,6,901,118,1705,6317,8109,7440
10699,1,4168,311,123,6429,6930,400
5648,1,3495,314,124,6525,1354,320
1631,14581,2717,331,1078,6567,5298,2458
1241,4,4173,69,113,6606,8024,1961
15187,3,3128,35,1190,6645,2428,7759
2521,2,7459,87,1212,6655,820,6306
7307,1,7464,26,276,6785,1819,2921
2561,3,5637,67,541,7048,972,3712
1,10738,4635,3313,282,7058,11120,482
2928,5,3534,28,1289,7083,4311,3218
10506,4,7469,12,459,7084,6005,7157
3377,3,3092,32,280,7153,12632,911
806,2,7474,218,288,7290,8655,1081
223,1,905,299,1032,7324,1691,6817
845,5,70,231,1747,7553,8830,1640
1,12004,600,16,605,7560,7240,5766
221,17,61,224,678,7647,14109,834
14717,15,7479,3,237,7654,2498,3783
10245,4016,7484,148,484,7699,3245,6403
1,8,7490,87,663,7925,15217,1060
16803,7,4998,2826,717,7971,1951,2870
21298,6,3161,1,788,8016,1899,5761
5521,5,3297,17,12130,8084,1596,3629
2739,4,8196,3416,1,8163,11536,2437
19088,2,1575,3301,1259,8232,13916,2170
7766,10,1509,20,1143,8458,10815,1947
13025,9,1513,124,1177,8459,573,1963
1,8,28,3283,220,8551,304,1983
6268,7,8197,55,610,9164,9563,2436
429,6,2811,331,2886,9176,9219,4210
269,5,2623,259,310,9185,2009,3583
7703,4,4343,198,2,9256,5351,6867
14035,1,7234,230,796,9427,2071,3486
14058,2,1201,99,10,9449,4423,4663
87,1,7892,9,320,9461,9597,4952
6188,2,5051,4,100,9722,4510,2578
5972,24,1707,25,227,9729,9230,9357
7822,6,7413,135,2,9738,5865,4170
4831,4,8589,155,514,9750,3806,3621
1397,3,6967,26,923,9891,5664,4048
11130,2,2405,57,651,10032,10625,1195
2614,1,7403,29,26,10078,908,3808
1,1,8797,121,540,10487,1554,3617
11669,2,2529,112,821,10529,3586,454
7952,4,5912,14,648,10537,4310,7624
4150,5,376,3148,538,10540,11766,543
11668,6,1378,4128,308,10543,2032,553
501,9,1384,84,7,10569,2869,2158
51,21,10488,1,608,10939,1271,1679
186,4208,837,2,698,11132,23,396
