Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
6,4,21,1,2,1,401,40
3,3,68,2,3,1,24,24
1,2,27,262,1,4,451,36
76,1,72,1,3,5,533,13
1,2,33,1,37,8,734,31
674,642,31,18,271,2,816,45
797,7,40,5,3,3,1160,17
1,9,69,3,270,1,1048,47
1,10,66,10,13,2,7,20
58,7,10,2,1,5,466,8
1,6,40,4,2,1,271,30
1,5,50,2,6,1,649,9
1,1,38,1,1,1,206,2
2,5,99,603,7,1,362,69
3,1,35,3,24,1,351,66
3,1,3,2,8,2,270,49
131,2,44,1,4,1,533,30
1,5,24,3,2,1,447,33
1,1,29,2,3,1,975,19
1,2,6,5,1,1,429,11
2,722,65,560,2,2,125,40
2,634,37,3,22,2,546,26
530,5,15,1,1,1,878,38
1,4,20,1,2,1,384,48
2,1,5,22,1,1,474,10
2,3,40,22,2,1,526,14
3,3,42,2,2,3,314,21
594,1,11,26,3,3,1028,1
2,1,52,1,5,4,102,23
3,5,24,1,2,13,572,5
4,5,31,40,1,2,48,22
530,326,40,5,5,3,789,45
3,4,22,1,110,12,1111,31
526,1,37,1,38,4,97,40
527,2,25,13,1,1,1082,49
3,3,46,1,15,2,55,48
1,257,24,2,11,7,665,19
1,661,45,1,1,1,132,16
2,1,19,3,2,1,797,39
3,1,52,1,3,2,126,17
602,1,51,6,18,2,553,36
1,3,40,7,70,8,691,32
2,1,16,2,20,1,739,30
3,1,43,1,186,3,138,39
4,637,60,1,3,1,475,44
4,655,24,32,23,1,400,12
96,1,30,19,23,2,314,44
1,1,24,3,1,1,232,27
1,2,18,1,1,1,262,37
2,5,5,100,1,1,358,4
98,3,32,1,1,1,527,17
87,4,29,2,1,2,636,37
2,3,16,12,2,2,187,30
3,1,46,1,2,11,578,12
4,733,51,11,3,1,717,34
244,8,25,2,4,1,517,55
5,732,57,1,5,1,57,13
245,3,54,2,6,1,259,2
246,2,20,1,3,2,256,12
265,4,24,562,249,8,58,20
243,1,37,3,250,3,259,60
266,5,28,315,17,1,175,11
2,6,5,2,1,1,268,22
3,7,20,1,4,1,271,4
4,8,26,1,5,1,187,1
